term,estimate,std.error,statistic,p.value,type
(Intercept),62.39256807322078,8.170708631699432,7.636126912072216,2.238536722475566e-14,sp-missing
(Intercept),63.74770935297418,7.860114001217953,8.110277960739023,4.440892098500626e-16,sp-all
(Intercept),70.06847332499667,6.057555439405584,11.56712043759229,0,sp-cc
(Intercept),58.635144623542004,1.5789841058356355,37.13472758011766,7.73406085875319e-302,none-missing
(Intercept),60.44130695077435,1.4306187868927975,42.24836658411888,0,none-all
(Intercept),69.44485281285893,6.0438053193945915,11.490253100974341,0,none-cc
IS_WOODY,-10.15683076291999,1.2848720732136358,-7.904935420937592,2.6807253839660756e-15,sp-missing
IS_WOODY,-10.133310900466268,1.2469368850659213,-8.126562797066152,4.440892098500626e-16,sp-all
IS_WOODY,-10.63643740268427,2.774618138391458,-3.8334779317958976,1.263441403811516e-4,sp-cc
IS_WOODY,-6.063873283628954,1.3973483352748415,-4.339557382044087,1.4276998432849076e-5,none-missing
IS_WOODY,-6.144258814196783,1.3286255585974704,-4.624522518355595,3.754622964979859e-6,none-all
IS_WOODY,-10.295655355834958,2.8013783118429747,-3.6752106319626776,2.376532652237362e-4,none-cc
PALT_SOHARD,-0.05743552605811443,0.042562581990656,-1.3494370729370595,0.1771966197250083,sp-missing
PALT_SOHARD,-0.07566526258759863,0.02939006004675032,-2.5745188157914294,0.01003796265875967,sp-all
PALT_SOHARD,-0.14715672730411433,0.085447223934786945,-1.7221943619423363,0.08503431584297116,sp-cc
PALT_SOHARD,-0.1544036056999767,0.05553332446355939,-2.7803774975023394,0.0054295740866443145,none-missing
PALT_SOHARD,-0.18482137300344867,0.03215963352090487,-5.746998730047978,9.084141217030606e-9,none-all
PALT_SOHARD,-0.226805807942065,0.08491845792381127,-2.6708658339692755,0.0075655879704110696,none-cc
PALT_SOMODF_PRESENT,-5.091190475943804,1.6469595947477027,-3.0912661683869187,0.0019930488966650654,sp-missing
PALT_SOMODF_PRESENT,-5.7349573383753265,1.2878015312776514,-4.453292839841222,8.456329524397788e-6,sp-all
PALT_SOMODF_PRESENT,-5.0794824091382385,2.6086730970896506,-1.9471517588022549,0.05151654327257016,sp-cc
PALT_SOMODF_PRESENT,-8.018153468438696,2.145737462360607,-3.7367821595553545,1.8639026940961052e-4,none-missing
PALT_SOMODF_PRESENT,-7.993345489176429,1.4854182349658205,-5.381208673098292,7.39873664556967e-8,none-all
PALT_SOMODF_PRESENT,-5.789875551806383,2.701062896392866,-2.143554509426075,0.03206859905405546,none-cc
SAMPLEABLE_WATER,3.292053278123171,1.2809757701162026,2.5699574925016226,0.010171099437446205,sp-missing
SAMPLEABLE_WATER,2.9848095416398497,1.232699442108312,2.421360341118405,0.015462541279881892,sp-all
SAMPLEABLE_WATER,-4.451137166099571,5.30315790665551,-0.8393370977155619,0.4012801711012104,sp-cc
SAMPLEABLE_WATER,8.223799813879646,1.4476544974499024,5.6807752321884655,1.3408559118660554e-8,none-missing
SAMPLEABLE_WATER,7.65358414977497,1.3721651130698544,5.577742850969378,2.4365948592119935e-8,none-all
SAMPLEABLE_WATER,-2.6730314267111943,5.620397641354916,-0.4755947171856693,0.6343631397268612,none-cc
SAMPLEABLE_WATER:NTL_RESULT,-0.7046064652575673,0.71967369611264,-0.979063802197497,0.3275484556518945,sp-missing
SAMPLEABLE_WATER:NTL_RESULT,-0.6046475144310827,0.7034147464188767,-0.8595889089749348,0.39001569093481914,sp-all
SAMPLEABLE_WATER:NTL_RESULT,2.476414589834943,1.2699756888649922,1.9499700754493765,0.051179685836939326,sp-cc
SAMPLEABLE_WATER:NTL_RESULT,0.37819178723725844,0.8293202862074673,0.45602621029174717,0.6483711305921741,none-missing
SAMPLEABLE_WATER:NTL_RESULT,0.18123845186494336,0.8059795332336424,0.2248673128681108,0.8220824986395983,none-all
SAMPLEABLE_WATER:NTL_RESULT,3.281131786066256,1.3080451513268219,2.5084239506090626,0.012127106948659039,none-cc
STRESS_VEGRMVHigh,1.4320152202394894,3.9662804722983123,0.36104739194343705,0.7180640194461608,sp-missing
STRESS_VEGRMVHigh,1.2244115581336148,3.3830658423054487,0.3619236559993223,0.7174090816871588,sp-all
STRESS_VEGRMVHigh,-3.8814685366234034,7.231446804312172,-0.5367485430866824,0.5914413198964634,sp-cc
STRESS_VEGRMVHigh,-0.43191606951395894,4.672056946859833,-0.09244666202201515,0.9263431671981431,none-missing
STRESS_VEGRMVHigh,-1.2219046628615546,3.8132932359120315,-0.3204329138273862,0.7486401781824612,none-all
STRESS_VEGRMVHigh,-2.813103824181757,7.383303385687115,-0.38100883537240154,0.7031966924778588,none-cc
STRESS_VEGRMVModerate,0.6901547759028014,1.6873894351812724,0.4090074060637103,0.6825342261145755,sp-missing
STRESS_VEGRMVModerate,-1.4375638423059822,1.248749402435596,-1.1512028270060568,0.2496488024637986,sp-all
STRESS_VEGRMVModerate,7.213663737421727,2.661743239442741,2.710127569980029,0.006725733420172242,sp-cc
STRESS_VEGRMVModerate,-0.33736795329914826,2.1757778099056897,-0.15505625241842672,0.8767769704935834,none-missing
STRESS_VEGRMVModerate,-2.455965561828563,1.4799352936550991,-1.6595087449822852,0.09701331995276452,none-all
STRESS_VEGRMVModerate,6.997864921993166,2.8539392329052142,2.452002075345373,0.014206384258734772,none-cc
